Model,Optimizer,Seed,Temperature,Generated Text
LSTM,SGD,دل,1.0,دل تو لے لٹانے ہیں قلب بزم جاں سے کیا بہر اندھیروں پریشانی ہے کہ اور
LSTM,SGD,دل,1.3,دل صدقے اپنی بھی لہرائیں لیا سلیقے تماشے زندہ اوس باجا وہ موسم فراق کتابیں ہر
LSTM,SGD,شام,0.7,شام میں پر جا پایا پر ہی نہیں کی ہے ہے کی نہ جا جا کو
LSTM,SGD,شام,1.0,شام غم یہ خون سیاست والا حقیقتا طرف شریفوں وقت خمیازہ دن شیرازۂ نہیں کا سرے
LSTM,SGD,شام,1.3,شام تیاری کر شعاعوں میں نہ گشتہ سی نامور خانۂ عرصے آ کچھ دل ناآشنا تیرہ
LSTM,SGD,یاد,0.7,یاد ہو کی میں سے آج ہے جب میں سے اس جو ہے انہیں تو میں
LSTM,SGD,یاد,1.0,یاد جسم کٹتی اک چن میں اک گئے در باش میں ہیں ہو ایجاد چنے یہ
LSTM,SGD,یاد,1.3,یاد کوئے نان طلب سیانی کھوئی یاں دشمن نیاز مے ملبوس گرد چھنتی لکھتا سے رونے
LSTM,SGD,خوشی,0.7,خوشی کو درد کے مجھ کر اور گا پھر ہے دام یہ بے کیا کی گا
LSTM,SGD,خوشی,1.0,خوشی سے گیا پر ہوا دبے بجلیوں زندگی کو سے چاند ہم بے چلا پاس راز
LSTM,SGD,خوشی,1.3,خوشی خاکستر سر سینکڑوں ہیں سے ہے جنوں یوں کمی ہجرتوں حقیقت سمجھا کو ملے مرا
Transformer,Adam,محبت,0.7,محبت تو نہ بستر میں سر میں میں نہ کے کو تو میں تھا ہے بھی
Transformer,Adam,محبت,1.0,محبت ہے بہار جلوۂ کسی رہو کو صحبت و میں سا دور بٹ دل لیکن نزاکت
Transformer,Adam,محبت,1.3,محبت نگری مجھ و زبان پڑے نہ بجائے کو زندگی لیکن قد خوشبو کبھی از لائیں
Transformer,Adam,دل,0.7,دل و ہے ہے دل سے دل سے سے ہے دل نہ ہے کہ نے کو
Transformer,Adam,دل,1.0,دل سے جوں کو میں تو کوئی سے کہ ہوں ہے سے بطحا جان کی وہ
Transformer,Adam,دل,1.3,دل دونوں چھپتی کہ پیرہن تک تیرے پہچان دل تسخیر خشک کو موسموں موسم ہلکی آگ
Transformer,Adam,شام,0.7,شام کی میں کو کی عشق ہو ہر ہے رکھتا تو دل کیوں میں سے کا
Transformer,Adam,شام,1.0,شام ہے ہے کچھ چراغاں چلے حیرت ہے ظلم و اپنے شعر سورج ہے آئنہ ہیں
Transformer,Adam,شام,1.3,شام فرشتے چاک اشکوں باد امڈتی مالک طرز تماشائے میرا فصل لب گا زرد میرے ہم
Transformer,Adam,یاد,0.7,یاد نہ سے یاد تنہا کا ہے ہو کی کا میں ہے نگاہ ہے نہ ہے
Transformer,Adam,یاد,1.0,یاد تحریر لوگوں میں و حقیقت مصلحت نے تجھے جائے کچھ ہے سے دل درد ہوا
Transformer,Adam,یاد,1.3,یاد کے اتراو میعاد بارش کا کو گھڑی ہے صدیوں لیے نئے یہ نرگس جلد بہ
Transformer,Adam,خوشی,0.7,خوشی کو ہے بھی تو سے کے گیا کو ہے بھی نہ سے ہر میں ہے
Transformer,Adam,خوشی,1.0,خوشی کہتے ملا ہوں اپنا ہے ساحل ششدر معذور میں ہے سب دل مرگ چندے میں
Transformer,Adam,خوشی,1.3,خوشی رستوں کے دلوں مجھ غضب گریزاں فتنۂ کچھ ملتا بہتر آسماں کسی تمنا ہے دامن
Transformer,RMSprop,محبت,0.7,محبت ہی بھی نہیں کرتے ہیں سب بھی کرتے ہیں کبھی کہ وہ ہے کیا ہو
Transformer,RMSprop,محبت,1.0,محبت سے عزت بھول جائے ہی ہو ان کو پائمالوں مے و طلب جب دیا اک
Transformer,RMSprop,محبت,1.3,محبت کلاہیں آئی چلتے کہہ مٹائی اسد ہی کرمک رکھتا قالب کام آ آتشیں نہیں تخیلات
Transformer,RMSprop,دل,0.7,دل سے ہوا مری نظر کا دل میں اسے جانے ہو کوئی بھی ہے مگر درد
Transformer,RMSprop,دل,1.0,دل میں اچھا نہیں کس پاس نہ بہانۂ معبدوں تو ہیں جب میں تراشے تھی ہم
Transformer,RMSprop,دل,1.3,دل یو خدا قبلہ ناصیہ تھا وفا ملاو ہوا بید کی بھی چکا بھروسہ پریشان عجمی
Transformer,RMSprop,شام,0.7,شام میں ہے کیا ہوتا نہ ہو مرتا ہے جو اب کے لیے بھی دل کے
Transformer,RMSprop,شام,1.0,شام ایک دل کہاں نہیں کہ بہت کو ہیں بھی مرا رنجیدہ کو نہیں اسی راہ
Transformer,RMSprop,شام,1.3,شام آپ حل غازی سا پچھتائیے نہ جرم آئے نکلے ان سے شادمانی کو لاکھوں گبروں
Transformer,RMSprop,یاد,0.7,یاد نہ تھا کہ یہ اس کی ہم کوئی ہر ہم بھی کیا درد نے وہ
Transformer,RMSprop,یاد,1.0,یاد ہو مر رہے آتے کہہ کر دیکھ کہانیوں رکھا نہیں غیر کو موسم کائنات کوئی
Transformer,RMSprop,یاد,1.3,یاد ہوئے تراشتے کے علاوہ یہ بیانوں میں آرزدگئ کی پتلا دوستی تڑپائیں ہیں قرعۂ کئی
Transformer,RMSprop,خوشی,0.7,خوشی ہے اس کی دیا حسن و ہے نہ ہوا ہے یہ ہے اور کہ ہم
Transformer,RMSprop,خوشی,1.0,خوشی آدمی کو بھی ہو ان کا تھیں طرح کچھ ہے تمہیں تھکنے شراب اسباب کوباں
Transformer,RMSprop,خوشی,1.3,خوشی سمندر چھینے سونپی زار رائیگاں اور تخیل رانیں تیشۂ پھر بھی نقصان افسردہ میں وہ
Transformer,SGD,محبت,0.7,محبت کی یہ نہیں کو کچھ پایا تیرا ہیں گیا میں ہے ہے وہ ہے میں
Transformer,SGD,محبت,1.0,محبت ما ہیں کو ہے تو رنگ بلبل کھیل ہر آنکھوں ہے کر کی دل کو
Transformer,SGD,محبت,1.3,محبت رومانوں یہ سنبھالے آساں پہ بنتا کہ دیا کافر گھر شکایت ہوتا دوئی آبلہ گویا
Transformer,SGD,دل,0.7,دل کے میں کی جس اور میں نہیں ہے ہے صورت ہے آئے بھی گے جو
Transformer,SGD,دل,1.0,دل سے تجھ تفصیل بچاتے نہ کے شیشے و بچی کیا کیا رشتۂ جنوں ہیں تھا
Transformer,SGD,دل,1.3,دل لیلی وفاوں نہیں ہے مزاج ہوتا کہ بہ کھڑا خانقاہی اس و اس کر کی
Transformer,SGD,شام,0.7,شام ہوتی کو و کا کہاں کی میں کو ہے بہ ہے سے جنوں یہاں پرسان
Transformer,SGD,شام,1.0,شام ہمیں ہیں تڑپا بھی سا ہو ہوا سے گیا خنجر ہاتھ پیش گئی ہاتھ رے
Transformer,SGD,شام,1.3,شام سمجھتے گی راستی جوار خاک عاشق ہے اکھڑا اس مر کو گزار اہل وہ ہیں
Transformer,SGD,یاد,0.7,یاد بات ہے یہ نہ سے ہے کے کہ سے دی ہو ہے کے میں کے
Transformer,SGD,یاد,1.0,یاد ہے یہ ہم آپ ہیں ہم ہے حنائی گزری بھی دو فقط سوا بھٹکنے و
Transformer,SGD,یاد,1.3,یاد مرو کہہ بیگانے چھپیں افسردگاں نشاں ہولناک دے شفا خواب ہیں میں اپنے شدت حوادث
Transformer,SGD,خوشی,0.7,خوشی پر کی ہے دل کے آنکھ نہ سمجھا اس ہے سے کا ترا گا ہے
Transformer,SGD,خوشی,1.0,خوشی کشاد کہیو کیا ہنر گیا رنگ گئے یہ ہوں ایک قلندر نہ چمن چلمن امید
Transformer,SGD,خوشی,1.3,خوشی زخمہ ان جوہر چلتیں موجزن گوناں آوے و جو کیا بنا تک تمنا ادا دم
